"","pv","nv","xv","five"
"1",0.046964363867933,276,67,TRUE
"2",0.335837388688496,2000,408,FALSE
"3",0.442265675267753,2000,403,FALSE
"4",0.442265675267753,2000,403,FALSE
"5",0.660794083224133,2000,393,FALSE
"6",0.377328692338248,2000,406,FALSE
"7",0.0300353232896,13,6,TRUE
"8",0.597276037395401,2000,396,FALSE
"9",0.597276037395401,2000,396,FALSE
"10",0.915387973059641,2000,376,FALSE
"11",0.756753824871251,2000,388,FALSE
"12",0.259095552284785,2000,412,FALSE
"13",0.296303848239473,2000,410,FALSE
"14",0.0423719919345133,119,32,TRUE
"15",0.0392012678600323,153,40,TRUE
"16",0.756753824871251,2000,388,FALSE
"17",0.104797849081733,2000,423,FALSE
"18",0.951456852789237,2000,371,FALSE
"19",0.575449000831754,2000,397,FALSE
"20",0.700913486690339,2000,391,FALSE
"21",0.04,2,2,TRUE
"22",0.0327934976,10,5,TRUE
"23",0.398674435643595,2000,405,FALSE
"24",0.259095552284785,2000,412,FALSE
"25",0.150603204937621,2000,419,FALSE
"26",0.356364123020496,2000,407,FALSE
"27",0.0321426630808751,20,8,TRUE
"28",0.945442102267396,2000,372,FALSE
"29",0.0465277244800868,73,21,TRUE
"30",0.356364123020496,2000,407,FALSE
"31",0.821623439477988,2000,384,FALSE
"32",0.464382262507213,2000,402,FALSE
"33",0.0356842769940964,126,34,TRUE
"34",0.0497125852467855,1720,372,TRUE
"35",0.0432093996863534,56,17,TRUE
"36",0.277389055861765,2000,411,FALSE
"37",0.208252955116661,2000,415,FALSE
"38",0.835982562000426,2000,383,FALSE
"39",0.980253352020861,2000,364,FALSE
"40",0.553402044504241,2000,398,FALSE
"41",0.04,2,2,TRUE
"42",0.048800468484264,86,24,TRUE
"43",0.0486083143855994,1073,237,TRUE
"44",0.575449000831754,2000,397,FALSE
"45",0.0417741325390812,189,48,TRUE
"46",0.0361749880288391,24,9,TRUE
"47",0.0493533323818181,200,50,TRUE
"48",0.049591003569675,160,41,TRUE
"49",0.241456973896543,2000,413,FALSE
"50",0.259095552284785,2000,412,FALSE
"51",0.04,2,2,TRUE
"52",0.821623439477988,2000,384,FALSE
"53",0.356364123020496,2000,407,FALSE
"54",0.849578467874578,2000,382,FALSE
"55",0.982840010386732,2000,363,FALSE
"56",0.0495419827805244,950,211,TRUE
"57",0.315801182934282,2000,409,FALSE
"58",0.756753824871251,2000,388,FALSE
"59",0.640010194963003,2000,394,FALSE
"60",0.756753824871251,2000,388,FALSE
"61",0.575449000831754,2000,397,FALSE
"62",0.640010194963003,2000,394,FALSE
"63",0.980253352020861,2000,364,FALSE
"64",0.241456973896543,2000,413,FALSE
"65",0.990507464498581,2000,359,FALSE
"66",0.377328692338248,2000,406,FALSE
"67",0.906236055071354,2000,377,FALSE
"68",0.756753824871251,2000,388,FALSE
"69",0.0454181937151978,436,102,TRUE
"70",0.821623439477988,2000,384,FALSE
"71",0.398674435643595,2000,405,FALSE
"72",0.04,2,2,TRUE
"73",0.977345137910332,2000,365,FALSE
"74",0.0380705704616536,118,32,TRUE
"75",0.04385438056448,14,6,TRUE
"76",0.163898422275078,2000,418,FALSE
"77",0.0467742421777729,25,9,TRUE
"78",0.738774731153557,2000,389,FALSE
"79",0.464382262507213,2000,402,FALSE
"80",0.821623439477988,2000,384,FALSE
"81",0.277389055861765,2000,411,FALSE
"82",0.0466398020566038,778,175,TRUE
"83",0.04931331858652,1662,360,TRUE
"84",0.296303848239473,2000,410,FALSE
"85",0.104797849081733,2000,423,FALSE
"86",0.923858425154646,2000,375,FALSE
"87",0.224501730264263,2000,414,FALSE
"88",0.575449000831754,2000,397,FALSE
"89",0.224501730264263,2000,414,FALSE
"90",0.874481497060562,2000,380,FALSE
"91",0.738774731153557,2000,389,FALSE
"92",0.486623333352149,2000,401,FALSE
"93",0.508920006874197,2000,400,FALSE
"94",0.04,2,2,TRUE
"95",0.0410883210235406,32,11,TRUE
"96",0.849578467874578,2000,382,FALSE
"97",0.700913486690339,2000,391,FALSE
"98",0.0272,4,3,TRUE
"99",0.047449017768315,1483,323,TRUE
"100",0.0423922820901084,132,35,TRUE
"101",0.177941128142563,2000,417,FALSE
"102",0.885800682640244,2000,379,FALSE
"103",0.335837388688496,2000,408,FALSE
"104",0.618817486564757,2000,395,FALSE
"105",0.0444354937204211,575,132,TRUE
"106",0.974086344564561,2000,366,FALSE
