"","av","bv","pv","av...bv"
"150",399,1602,0.531202753679491,2001
"151",387,1614,0.774052990060254,2001
"152",385,1616,0.806507097603778,2001
"153",384,1617,0.821623439477988,2001
"154",394,1607,0.640010194963003,2001
"155",281,1003,0.0488291693388606,1284
"156",425,1576,0.0861425601694875,2001
"157",39,111,0.0406097177376266,150
"158",396,1605,0.597276037395401,2001
"159",8,14,0.0430526331781802,22
"160",371,1630,0.951456852789237,2001
"161",390,1611,0.720148574937026,2001
"162",17,39,0.0367305864694477,56
"163",393,1608,0.660794083224133,2001
"164",14,29,0.0297582447116389,43
"165",8,13,0.0321426630808751,21
"166",386,1615,0.79064475444227,2001
"167",395,1606,0.618817486564757,2001
"168",381,1620,0.862410181386441,2001
"169",399,1602,0.531202753679491,2001
"170",369,1632,0.961901889365163,2001
"171",369,1632,0.961901889365163,2001
"172",19,47,0.0486461033380289,66
"173",394,1607,0.640010194963003,2001
"174",369,1632,0.961901889365163,2001
"175",392,1609,0.681112660554043,2001
"176",395,1606,0.618817486564757,2001
"177",392,1609,0.681112660554043,2001
"178",10,18,0.0304250658434698,28
"179",138,466,0.0443690270755994,604
"180",190,659,0.0452277499529787,849
"181",9,16,0.0361749880288391,25
"182",16,36,0.0367871541520281,52
"183",375,1626,0.923858425154646,2001
"184",426,1575,0.0778096834043992,2001
"185",369,1632,0.961901889365163,2001
"186",363,1638,0.982840010386732,2001
"187",5,6,0.0327934976,11
"188",412,1589,0.259095552284785,2001
"189",403,1598,0.442265675267753,2001
"190",366,1635,0.974086344564561,2001
"191",92,297,0.0409430245969649,389
"192",387,1614,0.774052990060254,2001
"193",354,1647,0.995776475014974,2001
"194",22,54,0.0345461704653279,76
"195",381,1620,0.862410181386441,2001
"196",379,1622,0.885800682640244,2001
"197",388,1613,0.756753824871251,2001
"198",391,1610,0.700913486690339,2001
"199",383,1618,0.835982562000426,2001
"200",384,1617,0.821623439477988,2001
"201",394,1607,0.640010194963003,2001
"202",406,1595,0.377328692338248,2001
"203",411,1590,0.277389055861765,2001
"204",10,19,0.0390707319727963,29
"205",390,1611,0.720148574937026,2001
"206",73,230,0.0432173711149209,303
"207",109,360,0.0444629376961337,469
"208",407,1594,0.356364123020496,2001
"209",411,1590,0.277389055861765,2001
"210",398,1603,0.553402044504241,2001
"211",383,1618,0.835982562000426,2001
"212",297,1064,0.0495171525151224,1361
"213",19,46,0.0420662607564922,65
"214",374,1627,0.93167249535299,2001
"215",338,1218,0.0475549230401927,1556
"216",4,4,0.033344,8
"217",422,1579,0.115162989304523,2001
"218",374,1627,0.93167249535299,2001
"219",7,10,0.026657331511296,17
"220",173,598,0.0492903223185426,771
"221",399,1602,0.531202753679491,2001
"222",384,1617,0.821623439477988,2001
"223",415,1586,0.208252955116661,2001
"224",400,1601,0.508920006874197,2001
"225",303,1087,0.0499089685071886,1390
"226",6,7,0.019405279232,13
"227",389,1612,0.738774731153557,2001
"228",411,1590,0.277389055861765,2001
"229",391,1610,0.700913486690339,2001
"230",403,1598,0.442265675267753,2001
"231",413,1588,0.241456973896543,2001
"232",15,33,0.0366368930406167,48
"233",378,1623,0.896380143391661,2001
"234",397,1604,0.575449000831754,2001
"235",383,1618,0.835982562000426,2001
"236",395,1606,0.618817486564757,2001
"237",395,1606,0.618817486564757,2001
"238",398,1603,0.553402044504241,2001
"239",80,257,0.0489405295711364,337
"240",395,1606,0.618817486564757,2001
"241",375,1626,0.923858425154646,2001
"242",388,1613,0.756753824871251,2001
"243",397,1604,0.575449000831754,2001
"244",54,163,0.0426157868576953,217
"245",5,6,0.0327934976,11
"246",401,1600,0.486623333352149,2001
"247",416,1585,0.192728522957567,2001
"248",382,1619,0.849578467874578,2001
"249",394,1607,0.640010194963003,2001
"250",362,1639,0.98513294564146,2001
"251",150,512,0.0478862401101694,662
"252",379,1622,0.885800682640244,2001
"253",376,1625,0.915387973059641,2001
"254",13,28,0.0432416223763238,41
